               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.026972,           0.0039048,           0.0012584,             0.88779,             0.74002,             0.80204,              0.5045,            0.033242,           0.0054847,           0.0025823,             0.00643,             0.00643,             0.00643
                 121,            0.026511,           0.0038856,            0.001139,             0.88729,             0.74035,             0.80228,             0.50543,            0.033267,           0.0054784,           0.0026009,              0.0064,              0.0064,              0.0064
                 122,            0.026432,           0.0038705,           0.0011447,             0.87537,             0.74547,             0.80235,             0.50644,            0.033252,           0.0054795,           0.0025924,             0.00637,             0.00637,             0.00637
                 123,            0.026724,           0.0039369,           0.0012106,              0.8748,             0.75036,             0.80357,             0.50655,            0.033241,           0.0054763,           0.0025999,             0.00634,             0.00634,             0.00634
                 124,            0.026537,           0.0038956,           0.0011652,             0.87417,             0.75282,             0.80349,             0.50698,            0.033178,           0.0054777,           0.0026055,             0.00631,             0.00631,             0.00631
                 125,            0.026452,           0.0038962,           0.0011321,             0.87897,             0.74704,             0.80409,             0.50727,            0.033204,           0.0054761,           0.0026272,             0.00628,             0.00628,             0.00628
                 126,             0.02647,           0.0039209,           0.0012008,              0.8803,             0.74942,             0.80443,             0.50746,             0.03311,           0.0054873,           0.0026071,             0.00625,             0.00625,             0.00625
                 127,            0.026926,           0.0039181,           0.0012547,             0.87967,             0.74875,             0.80484,             0.50857,            0.032983,           0.0054955,           0.0025673,             0.00622,             0.00622,             0.00622
                 128,            0.026407,           0.0038585,           0.0012046,             0.87933,             0.74932,             0.80534,             0.50849,            0.032862,           0.0055035,           0.0025567,             0.00619,             0.00619,             0.00619
                 129,            0.026362,           0.0038873,           0.0011324,             0.88136,             0.75101,             0.80556,             0.50897,            0.032897,           0.0054979,            0.002576,             0.00616,             0.00616,             0.00616
                 130,              0.0264,           0.0038151,           0.0011144,             0.87973,             0.75121,              0.8058,              0.5092,            0.032859,           0.0055002,           0.0025883,             0.00613,             0.00613,             0.00613
                 131,            0.026654,           0.0038178,           0.0011116,             0.88302,             0.75066,             0.80722,             0.50898,            0.032818,           0.0055055,            0.002591,              0.0061,              0.0061,              0.0061
                 132,            0.026299,           0.0038403,           0.0011258,             0.87612,             0.75414,             0.80497,             0.50838,            0.032798,           0.0055062,           0.0025777,             0.00607,             0.00607,             0.00607
                 133,            0.026567,           0.0038324,           0.0012344,             0.88465,             0.75043,             0.80468,             0.50885,            0.032893,           0.0054998,           0.0025842,             0.00604,             0.00604,             0.00604
                 134,            0.026192,           0.0038476,           0.0011017,             0.88586,             0.75083,              0.8048,             0.50992,            0.032877,           0.0054999,            0.002587,             0.00601,             0.00601,             0.00601
                 135,             0.02656,           0.0038987,           0.0011564,             0.88639,             0.75165,             0.80614,             0.50958,            0.032878,           0.0055057,           0.0025937,             0.00598,             0.00598,             0.00598
                 136,            0.026451,           0.0038841,           0.0011465,             0.88763,             0.75004,             0.80552,             0.50982,            0.032887,           0.0055052,            0.002606,             0.00595,             0.00595,             0.00595
                 137,            0.026255,           0.0038557,           0.0012275,             0.88993,             0.75066,             0.80711,             0.51016,            0.032919,           0.0054995,           0.0026223,             0.00592,             0.00592,             0.00592
                 138,            0.026373,           0.0038892,           0.0012683,             0.88579,             0.75081,             0.80667,             0.50983,            0.032941,           0.0054961,           0.0026494,             0.00589,             0.00589,             0.00589
                 139,            0.026399,           0.0038607,           0.0011579,             0.89106,             0.75164,             0.80771,             0.51083,            0.032949,           0.0054986,           0.0026756,             0.00586,             0.00586,             0.00586
                 140,            0.026249,           0.0037833,           0.0010767,             0.89109,             0.74973,             0.80812,             0.51145,            0.032887,           0.0055028,           0.0026741,             0.00583,             0.00583,             0.00583
                 141,            0.025892,           0.0038088,           0.0011616,             0.89084,             0.75132,             0.80899,             0.51227,            0.032923,           0.0055018,           0.0026899,              0.0058,              0.0058,              0.0058
                 142,            0.026408,           0.0038456,           0.0012552,             0.88826,             0.75256,             0.80894,             0.51263,            0.032926,           0.0055025,            0.002681,             0.00577,             0.00577,             0.00577
                 143,            0.026256,           0.0038073,           0.0011484,             0.88784,             0.75505,             0.80872,             0.51233,            0.032882,           0.0055134,           0.0026651,             0.00574,             0.00574,             0.00574
                 144,            0.025984,           0.0037772,           0.0011996,              0.8858,             0.75776,             0.80908,             0.51332,            0.032899,           0.0055128,           0.0026705,             0.00571,             0.00571,             0.00571
                 145,            0.025904,           0.0037983,           0.0011355,              0.8823,             0.75851,             0.80892,              0.5128,            0.032894,           0.0055079,           0.0026719,             0.00568,             0.00568,             0.00568
                 146,            0.025999,           0.0037934,           0.0011214,             0.88357,             0.75742,             0.80901,             0.51271,            0.032921,           0.0054984,           0.0026873,             0.00565,             0.00565,             0.00565
                 147,            0.026074,           0.0037533,           0.0010763,             0.89102,             0.75509,             0.80888,              0.5137,            0.032958,           0.0054894,            0.002722,             0.00562,             0.00562,             0.00562
                 148,            0.025674,           0.0037876,           0.0011188,             0.88812,             0.75635,             0.80915,             0.51415,            0.033024,           0.0054766,           0.0027445,             0.00559,             0.00559,             0.00559
                 149,            0.025885,            0.003705,            0.001107,             0.88767,             0.75575,             0.80939,             0.51427,            0.033081,           0.0054701,            0.002771,             0.00556,             0.00556,             0.00556
                 150,            0.025719,           0.0038009,           0.0011233,             0.89023,             0.75351,             0.80936,             0.51447,            0.033039,           0.0054735,           0.0027626,             0.00553,             0.00553,             0.00553
                 151,            0.026357,           0.0038698,           0.0011932,             0.89043,             0.75293,             0.80959,             0.51404,             0.03307,            0.005463,           0.0027628,              0.0055,              0.0055,              0.0055
                 152,            0.026269,           0.0037972,           0.0011511,             0.89123,             0.75036,             0.80973,             0.51551,            0.033157,           0.0054502,           0.0027902,             0.00547,             0.00547,             0.00547
                 153,            0.026235,           0.0038879,           0.0012089,             0.89561,             0.74692,             0.80952,             0.51521,            0.033095,           0.0054535,           0.0027704,             0.00544,             0.00544,             0.00544
                 154,             0.02589,           0.0037804,            0.001085,             0.89799,             0.74683,             0.80992,             0.51595,            0.033107,           0.0054532,           0.0027707,             0.00541,             0.00541,             0.00541
                 155,            0.025517,           0.0037673,           0.0011513,              0.8974,             0.74755,             0.80985,             0.51642,            0.033196,           0.0054428,           0.0027996,             0.00538,             0.00538,             0.00538
                 156,            0.025571,           0.0037999,           0.0011598,             0.89652,             0.74837,             0.80985,             0.51666,            0.033241,            0.005434,           0.0028256,             0.00535,             0.00535,             0.00535
                 157,            0.025393,           0.0037347,           0.0010691,             0.89887,             0.74769,             0.81012,             0.51721,            0.033306,           0.0054253,           0.0028526,             0.00532,             0.00532,             0.00532
                 158,            0.025824,            0.003746,           0.0011395,              0.8972,             0.74844,             0.80873,             0.51716,            0.033367,           0.0054141,           0.0028713,             0.00529,             0.00529,             0.00529
